Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,2024-25 Total,2025-26 Seat Capacity,2025-26 Female Supernumerary,2025-26 Total,Difference
"Computer Science and Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",62.0,0.0,62.0,62,0,62,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) JHARKHAND",58.0,0.0,58.0,58,0,58,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) KARNATAKA",57.0,0.0,57.0,57,0,57,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) KERALA",86.0,4.0,90.0,86,3,89,-1.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",91.0,23.0,114.0,91,23,114,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) MANIPUR",37.0,0.0,37.0,37,0,37,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) MEGHALAYA",16.0,0.0,16.0,16,0,16,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) MIZORAM",18.0,0.0,18.0,16,1,17,-1.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) NAGALAND",15.0,0.0,15.0,15,0,15,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) ODISHA",56.0,0.0,56.0,56,0,56,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than ARUNACHAL PRADESH",16.0,0.0,16.0,21,0,21,5.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than ASSAM",80.0,0.0,80.0,81,0,81,1.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than BIHAR",99.0,0.0,99.0,75,0,75,-24.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",57.0,0.0,57.0,57,0,57,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",60.0,0.0,60.0,60,0,60,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",25.0,0.0,25.0,25,0,25,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than HARYANA",54.0,0.0,54.0,54,0,54,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",62.0,0.0,62.0,62,0,62,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than JAMMU & KASHMIR (UT) LADAKH (UT)",39.0,2.0,41.0,63,2,65,24.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than JHARKHAND",58.0,0.0,58.0,58,0,58,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",58.0,0.0,58.0,58,0,58,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than KERALA",86.0,3.0,89.0,86,3,89,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",92.0,23.0,115.0,92,23,115,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than MANIPUR",37.0,0.0,37.0,37,0,37,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",17.0,0.0,17.0,17,0,17,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than MIZORAM",17.0,1.0,18.0,16,1,17,-1.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18.0,0.0,18.0,18,1,19,1.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than ODISHA",57.0,0.0,57.0,57,0,57,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",30.0,0.0,30.0,30,0,30,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",79.0,0.0,79.0,79,0,79,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",59.0,0.0,59.0,59,0,59,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than SIKKIM",20.0,0.0,20.0,20,0,20,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than TAMIL NADU",59.0,0.0,59.0,59,0,59,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than TELANGANA",67.0,0.0,67.0,67,0,67,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",58.0,17.0,75.0,71,19,90,15.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",154.0,8.0,162.0,154,8,162,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than UTTARAKHAND",21.0,5.0,26.0,26,0,26,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",93.0,0.0,93.0,144,0,144,51.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",30.0,0.0,30.0,30,0,30,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) PUNJAB",79.0,0.0,79.0,79,0,79,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) RAJASTHAN",58.0,0.0,58.0,58,0,58,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) SIKKIM",20.0,0.0,20.0,20,0,20,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) TAMIL NADU",60.0,0.0,60.0,60,0,60,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) TELANGANA",68.0,0.0,68.0,68,0,68,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) TRIPURA",59.0,16.0,75.0,73,17,90,15.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",154.0,9.0,163.0,154,9,163,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) UTTARAKHAND",22.0,4.0,26.0,26,0,26,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) WEST BENGAL",94.0,0.0,94.0,145,0,145,51.0
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",80.0,11.0,91.0,191,14,205,114.0
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) HARYANA",6.0,0.0,6.0,6,0,6,0.0
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) HIMACHAL PRADESH",14.0,0.0,14.0,14,0,14,0.0
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than HARYANA",6.0,0.0,6.0,6,0,6,0.0
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than HIMACHAL PRADESH",14.0,0.0,14.0,14,0,14,0.0
"Computer Science and Engineering with Specialization in Cyber Security (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",11.0,0.0,11.0,11,0,11,0.0
"Computer Science and Engineering with Specialization in Cyber Security (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",11.0,0.0,11.0,11,0,11,0.0
"Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",12.0,0.0,12.0,12,0,12,0.0
"Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",11.0,0.0,11.0,11,0,11,0.0
"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",120.0,0.0,120.0,336,32,368,248.0
"Data Science and Engineering (4 Years, Bachelor of Technology)",82.0,8.0,90.0,32,8,40,-50.0
"Data Science and Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",20.0,0.0,20.0,30,0,30,10.0
"Data Science and Engineering (4 Years, Bachelor of Technology) PUNJAB",20.0,0.0,20.0,30,0,30,10.0
"Earth Sciences (4 Years, Bachelor of Science)",34.0,9.0,43.0,34,9,43,0.0
"Economics (4 Years, Bachelor of Science)",164.0,11.0,175.0,164,11,175,0.0
"Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",33.0,0.0,33.0,33,0,33,0.0
"Electrical Engineering (4 Years, Bachelor of Technology)",1642.0,211.0,1853.0,2248,198,2446,593.0
"Electrical Engineering (4 Years, Bachelor of Technology) ARUNACHAL PRADESH",16.0,0.0,16.0,21,0,21,5.0
"Electrical Engineering (4 Years, Bachelor of Technology) ASSAM",81.0,0.0,81.0,81,0,81,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) BIHAR",60.0,0.0,60.0,58,0,58,-2.0
"Electrical Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",57.0,0.0,57.0,57,0,57,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",30.0,0.0,30.0,30,0,30,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) HARYANA",54.0,0.0,54.0,54,0,54,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",62.0,0.0,62.0,63,0,63,1.0
"Electrical Engineering (4 Years, Bachelor of Technology) JHARKHAND",57.0,0.0,57.0,57,0,57,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",55.0,13.0,68.0,54,12,66,-2.0
"Electrical Engineering (4 Years, Bachelor of Technology) MANIPUR",19.0,0.0,19.0,19,0,19,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) MIZORAM",16.0,2.0,18.0,15,2,17,-1.0
"Electrical Engineering (4 Years, Bachelor of Technology) ODISHA",57.0,0.0,57.0,57,1,58,1.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than ARUNACHAL PRADESH",16.0,0.0,16.0,21,0,21,5.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than ASSAM",81.0,0.0,81.0,81,0,81,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than BIHAR",60.0,0.0,60.0,58,0,58,-2.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",58.0,0.0,58.0,58,0,58,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",30.0,0.0,30.0,30,0,30,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than HARYANA",54.0,0.0,54.0,54,0,54,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",63.0,0.0,63.0,62,0,62,-1.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than JAMMU & KASHMIR (UT) LADAKH (UT)",54.0,2.0,56.0,50,2,52,-4.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than JHARKHAND",57.0,0.0,57.0,57,0,57,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",54.0,14.0,68.0,54,12,66,-2.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than MANIPUR",19.0,0.0,19.0,19,0,19,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than MIZORAM",17.0,1.0,18.0,16,1,17,-1.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than ODISHA",56.0,0.0,56.0,56,0,56,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",30.0,0.0,30.0,30,0,30,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",59.0,0.0,59.0,59,0,59,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",50.0,13.0,63.0,47,13,60,-3.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",49.0,3.0,52.0,49,3,52,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",50.0,0.0,50.0,101,0,101,51.0
"Electrical Engineering (4 Years, Bachelor of Technology) PUNJAB",30.0,0.0,30.0,30,0,30,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) RAJASTHAN",58.0,0.0,58.0,58,0,58,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) TRIPURA",48.0,14.0,62.0,46,14,60,-2.0
"Electrical Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",48.0,3.0,51.0,48,3,51,0.0
"Electrical Engineering (4 Years, Bachelor of Technology) WEST BENGAL",50.0,0.0,50.0,101,0,101,51.0
"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",96.0,14.0,110.0,110,9,119,9.0
"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) HARYANA",6.0,0.0,6.0,6,0,6,0.0
"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than HARYANA",6.0,0.0,6.0,6,0,6,0.0
"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",21.0,4.0,25.0,26,4,30,5.0
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",61.0,4.0,65.0,54,0,54,-11.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",76.0,4.0,80.0,417,25,442,362.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",5.0,0.0,5.0,5,0,5,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) GOA",20.0,0.0,20.0,20,0,20,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) KARNATAKA",58.0,0.0,58.0,58,0,58,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) KERALA",86.0,0.0,86.0,86,0,86,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) MEGHALAYA",16.0,0.0,16.0,16,0,16,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) NAGALAND",15.0,0.0,15.0,15,0,15,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",25.0,0.0,25.0,25,0,25,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",58.0,0.0,58.0,58,0,58,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than KERALA",86.0,0.0,86.0,86,0,86,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",17.0,0.0,17.0,17,0,17,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18.0,0.0,18.0,18,0,18,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",30.0,0.0,30.0,30,0,30,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than SIKKIM",15.0,0.0,15.0,15,0,15,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than TAMIL NADU",58.0,0.0,58.0,58,0,58,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than UTTARAKHAND",14.0,4.0,18.0,18,0,18,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",30.0,0.0,30.0,30,0,30,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) SIKKIM",15.0,0.0,15.0,15,0,15,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) TAMIL NADU",58.0,0.0,58.0,58,0,58,0.0
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) UTTARAKHAND",14.0,4.0,18.0,18,0,18,0.0
"Electronics Engineering (4 Years, Bachelor of Technology)",123.0,10.0,133.0,185,20,205,72.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",490.0,36.0,526.0,3583,267,3850,3324.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) ARUNACHAL PRADESH",16.0,0.0,16.0,21,0,21,5.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) ASSAM",81.0,0.0,81.0,81,0,81,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) BIHAR",79.0,0.0,79.0,50,0,50,-29.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",57.0,0.0,57.0,57,0,57,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",5.0,0.0,5.0,5,0,5,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",30.0,0.0,30.0,30,0,30,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) GOA",20.0,0.0,20.0,20,0,20,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) HARYANA",54.0,0.0,54.0,54,0,54,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",59.0,0.0,59.0,58,0,58,-1.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) JHARKHAND",58.0,0.0,58.0,58,0,58,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) KARNATAKA",58.0,0.0,58.0,58,0,58,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) KERALA",86.0,1.0,87.0,86,0,86,-1.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",69.0,18.0,87.0,69,18,87,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) MANIPUR",19.0,0.0,19.0,19,0,19,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) MEGHALAYA",16.0,0.0,16.0,16,0,16,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) MIZORAM",15.0,3.0,18.0,16,1,17,-1.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) NAGALAND",15.0,0.0,15.0,15,0,15,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) ODISHA",28.0,0.0,28.0,28,0,28,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than ARUNACHAL PRADESH",16.0,0.0,16.0,21,0,21,5.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than ASSAM",81.0,0.0,81.0,81,0,81,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than BIHAR",79.0,0.0,79.0,50,0,50,-29.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",57.0,0.0,57.0,57,0,57,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",30.0,0.0,30.0,30,0,30,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",25.0,0.0,25.0,25,0,25,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than HARYANA",54.0,0.0,54.0,54,0,54,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",58.0,0.0,58.0,59,0,59,1.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than JAMMU & KASHMIR (UT) LADAKH (UT)",52.0,1.0,53.0,49,1,50,-3.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than JHARKHAND",58.0,0.0,58.0,58,0,58,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",58.0,0.0,58.0,58,0,58,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than KERALA",86.0,0.0,86.0,86,1,87,1.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",69.0,17.0,86.0,69,17,86,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than MANIPUR",19.0,0.0,19.0,19,0,19,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",17.0,0.0,17.0,17,0,17,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than MIZORAM",16.0,2.0,18.0,15,2,17,-1.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18.0,1.0,19.0,18,1,19,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than ODISHA",28.0,0.0,28.0,28,0,28,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",30.0,0.0,30.0,30,0,30,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",43.0,0.0,43.0,42,0,42,-1.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",58.0,0.0,58.0,58,0,58,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than SIKKIM",15.0,0.0,15.0,15,0,15,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than TAMIL NADU",59.0,0.0,59.0,59,0,59,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than TELANGANA",50.0,0.0,50.0,50,0,50,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",51.0,13.0,64.0,47,13,60,-4.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",86.0,5.0,91.0,86,5,91,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than UTTARAKHAND",17.0,3.0,20.0,20,0,20,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",48.0,0.0,48.0,48,0,48,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",30.0,0.0,30.0,30,0,30,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) PUNJAB",43.0,0.0,43.0,43,0,43,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) RAJASTHAN",59.0,0.0,59.0,59,0,59,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) SIKKIM",15.0,0.0,15.0,15,0,15,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) TAMIL NADU",58.0,0.0,58.0,58,0,58,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) TELANGANA",50.0,0.0,50.0,50,0,50,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) TRIPURA",49.0,15.0,64.0,45,15,60,-4.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",87.0,4.0,91.0,87,4,91,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) UTTARAKHAND",15.0,5.0,20.0,20,0,20,0.0
"Electronics and Communication Engineering (4 Years, Bachelor of Technology) WEST BENGAL",49.0,0.0,49.0,49,0,49,0.0
"Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) HARYANA",6.0,0.0,6.0,6,0,6,0.0
"Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) HIMACHAL PRADESH",14.0,0.0,14.0,14,0,14,0.0
"Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than HARYANA",6.0,0.0,6.0,6,0,6,0.0
"Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than HIMACHAL PRADESH",14.0,0.0,14.0,14,0,14,0.0
"Electronics and Communication Engineering (VLSI Design and Technology) (4 Years, Bachelor of Technology) Other than TELANGANA",20.0,0.0,20.0,20,0,20,0.0
"Electronics and Communication Engineering (VLSI Design and Technology) (4 Years, Bachelor of Technology) TELANGANA",20.0,0.0,20.0,20,0,20,0.0
"Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",11.0,0.0,11.0,11,0,11,0.0
"Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",11.0,0.0,11.0,11,0,11,0.0
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",127.0,23.0,150.0,127,23,150,0.0
"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",52.0,10.0,62.0,52,10,62,0.0
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) ASSAM",50.0,0.0,50.0,50,0,50,0.0
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) NAGALAND",15.0,0.0,15.0,15,0,15,0.0
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) ODISHA",28.0,0.0,28.0,28,0,28,0.0
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) Other than ASSAM",50.0,0.0,50.0,50,0,50,0.0
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18.0,0.0,18.0,18,1,19,1.0
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) Other than ODISHA",28.0,0.0,28.0,28,0,28,0.0
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",30.0,8.0,38.0,36,9,45,7.0
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) TRIPURA",29.0,8.0,37.0,35,10,45,8.0
"Electronics and VLSI Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",15.0,0.0,15.0,15,0,15,0.0
"Electronics and VLSI Engineering (4 Years, Bachelor of Technology) PUNJAB",15.0,0.0,15.0,15,0,15,0.0
"Energy Engineering (4 Years, Bachelor of Technology)",121.0,7.0,128.0,141,6,147,19.0
"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",71.0,3.0,74.0,63,3,66,-8.0
"Engineering Physics (4 Years, Bachelor of Technology)",487.0,35.0,522.0,567,35,602,80.0
"Engineering Physics (4 Years, Bachelor of Technology) HIMACHAL PRADESH",25.0,0.0,25.0,25,0,25,0.0
"Engineering Physics (4 Years, Bachelor of Technology) KERALA",18.0,0.0,18.0,19,0,19,1.0
"Engineering Physics (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",25.0,0.0,25.0,25,0,25,0.0
"Engineering Physics (4 Years, Bachelor of Technology) Other than KERALA",19.0,0.0,19.0,18,0,18,-1.0
"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than TRIPURA",13.0,0.0,13.0,13,0,13,0.0
"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree)) TRIPURA",12.0,0.0,12.0,12,0,12,0.0
"Engineering Science (4 Years, Bachelor of Technology)",33.0,7.0,40.0,33,7,40,0.0
"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",40.0,0.0,40.0,40,0,40,0.0
"Engineering and Computational Mechanics (4 Years, Bachelor of Technology) JHARKHAND",15.0,0.0,15.0,15,0,15,0.0
"Engineering and Computational Mechanics (4 Years, Bachelor of Technology) Other than JHARKHAND",15.0,0.0,15.0,15,0,15,0.0
"Engineering and Computational Mechanics (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",15.0,0.0,15.0,15,0,15,0.0
"Engineering and Computational Mechanics (4 Years, Bachelor of Technology) UTTAR PRADESH",15.0,0.0,15.0,15,0,15,0.0
"Environmental Engineering (4 Years, Bachelor of Technology)",47.0,1.0,48.0,47,1,48,0.0
"Environmental Science and Engineering (4 Years, Bachelor of Technology)",37.0,9.0,46.0,37,9,46,0.0
"Exploration Geophysics (4 Years, Bachelor of Science)",45.0,0.0,45.0,45,0,45,0.0
"Food Process Engineering (4 Years, Bachelor of Technology) ODISHA",15.0,0.0,15.0,15,0,15,0.0
"Food Process Engineering (4 Years, Bachelor of Technology) Other than ODISHA",15.0,0.0,15.0,15,1,16,1.0
