Institute Name,Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,2024-25 Total,2025-26 Seat Capacity,2025-26 Female Supernumerary,2025-26 Total,Difference
Indian Institute of Technology (ISM) Dhanbad,"Mathematics and Computing (4 Years, Bachelor of Technology)",55.0,0.0,55.0,55,0,55,0.0
Indian Institute of Technology (ISM) Dhanbad,"Mechanical Engineering (4 Years, Bachelor of Technology)",111.0,20.0,131.0,111,20,131,0.0
Indian Institute of Technology (ISM) Dhanbad,"Mining Engineering (4 Years, Bachelor of Technology)",103.0,14.0,117.0,90,0,90,-27.0
Indian Institute of Technology (ISM) Dhanbad,"Mining Machinery Engineering (4 Years, Bachelor of Technology)",47.0,9.0,56.0,47,9,56,0.0
Indian Institute of Technology (ISM) Dhanbad,"Petroleum Engineering (4 Years, Bachelor of Technology)",79.0,11.0,90.0,79,11,90,0.0
Indian Institute of Technology (ISM) Dhanbad,"Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)",37.0,8.0,45.0,37,8,45,0.0
Indian Institute of Technology (ISM) Dhanbad,"Applied Geology (5 Years, Integrated Master of Technology)",19.0,2.0,21.0,19,2,21,0.0
Indian Institute of Technology (ISM) Dhanbad,"Applied Geophysics (5 Years, Integrated Master of Technology)",19.0,2.0,21.0,19,2,21,0.0
Indian Institute of Technology Ropar,"Chemical Engineering (4 Years, Bachelor of Technology)",34.0,1.0,35.0,34,1,35,0.0
Indian Institute of Technology Ropar,"Civil Engineering (4 Years, Bachelor of Technology)",32.0,3.0,35.0,32,3,35,0.0
Indian Institute of Technology Ropar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",73.0,11.0,84.0,109,11,120,36.0
Indian Institute of Technology Ropar,"Electrical Engineering (4 Years, Bachelor of Technology)",72.0,12.0,84.0,108,12,120,36.0
Indian Institute of Technology Ropar,"Engineering Physics (4 Years, Bachelor of Technology)",24.0,1.0,25.0,24,1,25,0.0
Indian Institute of Technology Ropar,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",19.0,1.0,20.0,79,1,80,60.0
Indian Institute of Technology Ropar,"Mathematics and Computing (4 Years, Bachelor of Technology)",34.0,2.0,36.0,78,2,80,44.0
Indian Institute of Technology Ropar,"Mechanical Engineering (4 Years, Bachelor of Technology)",67.0,16.0,83.0,67,16,83,0.0
Indian Institute of Technology Ropar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",27.0,1.0,28.0,27,1,28,0.0
Indian Institute of Technology (BHU) Varanasi,"Ceramic Engineering (4 Years, Bachelor of Technology)",75.0,0.0,75.0,75,0,75,0.0
Indian Institute of Technology (BHU) Varanasi,"Chemical Engineering (4 Years, Bachelor of Technology)",156.0,0.0,156.0,170,0,170,14.0
Indian Institute of Technology (BHU) Varanasi,"Civil Engineering (4 Years, Bachelor of Technology)",110.0,10.0,120.0,150,10,160,40.0
Indian Institute of Technology (BHU) Varanasi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",89.0,10.0,99.0,145,10,155,56.0
Indian Institute of Technology (BHU) Varanasi,"Electrical Engineering (4 Years, Bachelor of Technology)",108.0,7.0,115.0,143,7,150,35.0
Indian Institute of Technology (BHU) Varanasi,"Electronics Engineering (4 Years, Bachelor of Technology)",123.0,10.0,133.0,145,10,155,22.0
Indian Institute of Technology (BHU) Varanasi,"Mechanical Engineering (4 Years, Bachelor of Technology)",136.0,12.0,148.0,178,12,190,42.0
Indian Institute of Technology (BHU) Varanasi,"Metallurgical Engineering (4 Years, Bachelor of Technology)",102.0,4.0,106.0,106,4,110,4.0
Indian Institute of Technology (BHU) Varanasi,"Mining Engineering (4 Years, Bachelor of Technology)",123.0,8.0,131.0,112,8,120,-11.0
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",80.0,0.0,80.0,75,0,75,-5.0
Indian Institute of Technology (BHU) Varanasi,"Architecture (5 Years, Bachelor of Architecture)",26.0,0.0,26.0,26,0,26,0.0
Indian Institute of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",87.0,10.0,97.0,82,10,92,-5.0
Indian Institute of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",61.0,4.0,65.0,61,4,65,0.0
Indian Institute of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",99.0,18.0,117.0,99,18,117,0.0
Indian Institute of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",99.0,15.0,114.0,99,15,114,0.0
Indian Institute of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",90.0,14.0,104.0,90,14,104,0.0
Indian Institute of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",52.0,10.0,62.0,52,10,62,0.0
Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",61.0,7.0,68.0,61,7,68,0.0
Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",68.0,4.0,72.0,68,4,72,0.0
Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",99.0,20.0,119.0,99,20,119,0.0
Indian Institute of Technology Guwahati,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",40.0,0.0,40.0,50,0,50,10.0
Indian Institute of Technology Guwahati,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",79.0,5.0,84.0,74,5,79,-5.0
Indian Institute of Technology Guwahati,"Energy Engineering (4 Years, Bachelor of Technology)",20.0,0.0,20.0,20,0,20,0.0
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",50.0,5.0,55.0,56,5,61,6.0
Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",50.0,0.0,50.0,56,4,60,10.0
Indian Institute of Technology Bhilai,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",40.0,0.0,40.0,44,0,44,4.0
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",50.0,4.0,54.0,56,4,60,6.0
Indian Institute of Technology Bhilai,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",20.0,0.0,20.0,30,0,30,10.0
Indian Institute of Technology Bhilai,"Mechatronics Engineering (4 Years, Bachelor of Technology)",20.0,0.0,20.0,30,0,30,10.0
Indian Institute of Technology Bhilai,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",40.0,0.0,40.0,44,0,44,4.0
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",32.0,8.0,40.0,36,9,45,5.0
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",34.0,9.0,43.0,36,9,45,2.0
Indian Institute of Technology Goa,"Mathematics and Computing (4 Years, Bachelor of Technology)",23.0,6.0,29.0,24,6,30,1.0
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",36.0,9.0,45.0,36,9,45,0.0
Indian Institute of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",32.0,8.0,40.0,32,8,40,0.0
Indian Institute of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",32.0,8.0,40.0,32,8,40,0.0
Indian Institute of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",32.0,8.0,40.0,32,8,40,0.0
Indian Institute of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",32.0,8.0,40.0,32,8,40,0.0
Indian Institute of Technology Palakkad,"Data Science and Engineering (4 Years, Bachelor of Technology)",32.0,8.0,40.0,32,8,40,0.0
Indian Institute of Technology Tirupati,"Chemical Engineering (4 Years, Bachelor of Technology)",37.0,2.0,39.0,37,2,39,0.0
Indian Institute of Technology Tirupati,"Civil Engineering (4 Years, Bachelor of Technology)",37.0,2.0,39.0,37,2,39,0.0
Indian Institute of Technology Tirupati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",50.0,3.0,53.0,50,3,53,0.0
Indian Institute of Technology Tirupati,"Electrical Engineering (4 Years, Bachelor of Technology)",57.0,3.0,60.0,57,3,60,0.0
Indian Institute of Technology Tirupati,"Engineering Physics (4 Years, Bachelor of Technology)",10.0,0.0,10.0,10,0,10,0.0
Indian Institute of Technology Tirupati,"Mechanical Engineering (4 Years, Bachelor of Technology)",50.0,3.0,53.0,50,3,53,0.0
Indian Institute of Technology Jammu,"Chemical Engineering (4 Years, Bachelor of Technology)",40.0,0.0,40.0,40,0,40,0.0
Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",40.0,0.0,40.0,40,0,40,0.0
Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",40.0,0.0,40.0,40,0,40,0.0
Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",40.0,0.0,40.0,40,0,40,0.0
Indian Institute of Technology Jammu,"Mathematics and Computing (4 Years, Bachelor of Technology)",40.0,0.0,40.0,40,0,40,0.0
Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",40.0,0.0,40.0,40,0,40,0.0
Indian Institute of Technology Jammu,"Materials Engineering (4 Years, Bachelor of Technology)",40.0,0.0,40.0,40,0,40,0.0
Indian Institute of Technology Dharwad,"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",28.0,2.0,30.0,28,2,30,0.0
Indian Institute of Technology Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",62.0,3.0,65.0,62,3,65,0.0
Indian Institute of Technology Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",42.0,3.0,45.0,42,3,45,0.0
Indian Institute of Technology Dharwad,"Engineering Physics (4 Years, Bachelor of Technology)",28.0,2.0,30.0,28,2,30,0.0
Indian Institute of Technology Dharwad,"Mathematics and Computing (4 Years, Bachelor of Technology)",28.0,2.0,30.0,28,2,30,0.0
Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",62.0,3.0,65.0,62,3,65,0.0
Indian Institute of Technology Dharwad,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",28.0,2.0,30.0,28,2,30,0.0
Indian Institute of Technology Dharwad,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",28.0,2.0,30.0,28,2,30,0.0
Indian Institute of Technology Dharwad,"Interdisciplinary Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",57.0,3.0,60.0,57,3,60,0.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology) PUNJAB",25.0,0.0,25.0,25,0,25,0.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology) Other than PUNJAB",25.0,0.0,25.0,25,0,25,0.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology) PUNJAB",37.0,0.0,37.0,35,0,35,-2.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",37.0,0.0,37.0,35,0,35,-2.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology) PUNJAB",42.0,0.0,42.0,40,0,40,-2.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",43.0,0.0,43.0,40,0,40,-3.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology) PUNJAB",15.0,0.0,15.0,15,0,15,0.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",15.0,0.0,15.0,15,0,15,0.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology) PUNJAB",79.0,0.0,79.0,79,0,79,0.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",79.0,0.0,79.0,79,0,79,0.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology) PUNJAB",30.0,0.0,30.0,30,0,30,0.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",30.0,0.0,30.0,30,0,30,0.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) PUNJAB",43.0,0.0,43.0,43,0,43,0.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",43.0,0.0,43.0,42,0,42,-1.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mathematics and Computing (4 Years, Bachelor of Technology) PUNJAB",20.0,0.0,20.0,25,0,25,5.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mathematics and Computing (4 Years, Bachelor of Technology) Other than PUNJAB",20.0,0.0,20.0,25,0,25,5.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology) PUNJAB",55.0,0.0,55.0,55,0,55,0.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",55.0,0.0,55.0,55,0,55,0.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology) PUNJAB",37.0,2.0,39.0,35,0,35,-4.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology) Other than PUNJAB",38.0,1.0,39.0,35,0,35,-4.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology) PUNJAB",60.0,0.0,60.0,60,0,60,0.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology) Other than PUNJAB",60.0,0.0,60.0,60,0,60,0.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology) PUNJAB",50.0,0.0,50.0,45,0,45,-5.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",50.0,0.0,50.0,45,0,45,-5.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology) PUNJAB",38.0,0.0,38.0,35,0,35,-3.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",37.0,0.0,37.0,35,0,35,-2.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology) PUNJAB",20.0,0.0,20.0,30,0,30,10.0
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",20.0,0.0,20.0,30,0,30,10.0
Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology) RAJASTHAN",58.0,0.0,58.0,58,0,58,0.0
Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",57.0,0.0,57.0,57,0,57,0.0
Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology) RAJASTHAN",57.0,0.0,57.0,57,0,57,0.0
Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",58.0,0.0,58.0,58,0,58,0.0
Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology) RAJASTHAN",58.0,0.0,58.0,58,0,58,0.0
Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",59.0,0.0,59.0,59,0,59,0.0
Malaviya National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology) RAJASTHAN",58.0,0.0,58.0,58,0,58,0.0
Malaviya National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",59.0,0.0,59.0,59,0,59,0.0
Malaviya National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) RAJASTHAN",59.0,0.0,59.0,59,0,59,0.0
Malaviya National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",58.0,0.0,58.0,58,0,58,0.0
Malaviya National Institute of Technology Jaipur,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology) RAJASTHAN",20.0,0.0,20.0,20,0,20,0.0
Malaviya National Institute of Technology Jaipur,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",20.0,0.0,20.0,20,0,20,0.0
Malaviya National Institute of Technology Jaipur,"Mechanical Engineering (4 Years, Bachelor of Technology) RAJASTHAN",59.0,0.0,59.0,59,0,59,0.0
Malaviya National Institute of Technology Jaipur,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",57.0,0.0,57.0,57,0,57,0.0
Malaviya National Institute of Technology Jaipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) RAJASTHAN",37.0,0.0,37.0,37,0,37,0.0
Malaviya National Institute of Technology Jaipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",37.0,0.0,37.0,37,0,37,0.0
Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture) RAJASTHAN",38.0,0.0,38.0,38,0,38,0.0
Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture) Other than RAJASTHAN",39.0,0.0,39.0,39,0,39,0.0
Maulana Azad National Institute of Technology Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",31.0,8.0,39.0,29,7,36,-3.0
Maulana Azad National Institute of Technology Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",31.0,8.0,39.0,28,7,35,-4.0
Maulana Azad National Institute of Technology Bhopal,"Civil Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",45.0,12.0,57.0,41,10,51,-6.0
Maulana Azad National Institute of Technology Bhopal,"Civil Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",45.0,11.0,56.0,40,10,50,-6.0
Maulana Azad National Institute of Technology Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",91.0,23.0,114.0,91,23,114,0.0
Maulana Azad National Institute of Technology Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",92.0,23.0,115.0,92,23,115,0.0
Maulana Azad National Institute of Technology Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",55.0,13.0,68.0,54,12,66,-2.0
Maulana Azad National Institute of Technology Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",54.0,14.0,68.0,54,12,66,-2.0
Maulana Azad National Institute of Technology Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",69.0,18.0,87.0,69,18,87,0.0
Maulana Azad National Institute of Technology Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",69.0,17.0,86.0,69,17,86,0.0
Maulana Azad National Institute of Technology Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",86.0,21.0,107.0,76,16,92,-15.0
Maulana Azad National Institute of Technology Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",86.0,21.0,107.0,76,16,92,-15.0
Maulana Azad National Institute of Technology Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",31.0,8.0,39.0,29,7,36,-3.0
Maulana Azad National Institute of Technology Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",31.0,8.0,39.0,28,7,35,-4.0
Maulana Azad National Institute of Technology Bhopal,"Planning (4 Years, Bachelor of Planning) MADHYA PRADESH",21.0,5.0,26.0,21,5,26,0.0
Maulana Azad National Institute of Technology Bhopal,"Planning (4 Years, Bachelor of Planning) Other than MADHYA PRADESH",21.0,5.0,26.0,21,5,26,0.0
Maulana Azad National Institute of Technology Bhopal,"Architecture (5 Years, Bachelor of Architecture) MADHYA PRADESH",40.0,10.0,50.0,40,10,50,0.0
Maulana Azad National Institute of Technology Bhopal,"Architecture (5 Years, Bachelor of Architecture) Other than MADHYA PRADESH",40.0,10.0,50.0,40,10,50,0.0
Maulana Azad National Institute of Technology Bhopal,"Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree)) MADHYA PRADESH",12.0,3.0,15.0,12,3,15,0.0
Maulana Azad National Institute of Technology Bhopal,"Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than MADHYA PRADESH",12.0,3.0,15.0,12,3,15,0.0
Motilal Nehru National Institute of Technology Allahabad,"Bio Technology (4 Years, Bachelor of Technology) UTTAR PRADESH",28.0,2.0,30.0,28,2,30,0.0
Motilal Nehru National Institute of Technology Allahabad,"Bio Technology (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",29.0,1.0,30.0,29,1,30,0.0
Motilal Nehru National Institute of Technology Allahabad,"Chemical Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",29.0,1.0,30.0,29,1,30,0.0
Motilal Nehru National Institute of Technology Allahabad,"Chemical Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",28.0,2.0,30.0,28,2,30,0.0
Motilal Nehru National Institute of Technology Allahabad,"Civil Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",57.0,3.0,60.0,57,3,60,0.0
Motilal Nehru National Institute of Technology Allahabad,"Civil Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",58.0,3.0,61.0,58,3,61,0.0
Motilal Nehru National Institute of Technology Allahabad,"Computer Science and Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",154.0,9.0,163.0,154,9,163,0.0
Motilal Nehru National Institute of Technology Allahabad,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",154.0,8.0,162.0,154,8,162,0.0
Motilal Nehru National Institute of Technology Allahabad,"Electrical Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",48.0,3.0,51.0,48,3,51,0.0
Motilal Nehru National Institute of Technology Allahabad,"Electrical Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",49.0,3.0,52.0,49,3,52,0.0
Motilal Nehru National Institute of Technology Allahabad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",87.0,4.0,91.0,87,4,91,0.0
Motilal Nehru National Institute of Technology Allahabad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",86.0,5.0,91.0,86,5,91,0.0
Motilal Nehru National Institute of Technology Allahabad,"Mechanical Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",77.0,5.0,82.0,77,5,82,0.0
Motilal Nehru National Institute of Technology Allahabad,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",77.0,4.0,81.0,77,4,81,0.0
Motilal Nehru National Institute of Technology Allahabad,"Materials Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",15.0,0.0,15.0,15,0,15,0.0
Motilal Nehru National Institute of Technology Allahabad,"Materials Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",15.0,0.0,15.0,15,0,15,0.0
Motilal Nehru National Institute of Technology Allahabad,"Production and Industrial Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",29.0,1.0,30.0,29,1,30,0.0
Motilal Nehru National Institute of Technology Allahabad,"Production and Industrial Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",28.0,2.0,30.0,28,2,30,0.0
Motilal Nehru National Institute of Technology Allahabad,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology) UTTAR PRADESH",15.0,0.0,15.0,15,0,15,0.0
Motilal Nehru National Institute of Technology Allahabad,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",15.0,0.0,15.0,15,0,15,0.0
National Institute of Technology Agartala,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology) TRIPURA",19.0,6.0,25.0,23,7,30,5.0
National Institute of Technology Agartala,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",19.0,6.0,25.0,23,7,30,5.0
National Institute of Technology Agartala,"Chemical Engineering (4 Years, Bachelor of Technology) TRIPURA",29.0,8.0,37.0,37,8,45,8.0
National Institute of Technology Agartala,"Chemical Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",30.0,8.0,38.0,36,9,45,7.0
National Institute of Technology Agartala,"Civil Engineering (4 Years, Bachelor of Technology) TRIPURA",46.0,13.0,59.0,47,13,60,1.0
National Institute of Technology Agartala,"Civil Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",46.0,13.0,59.0,47,13,60,1.0
National Institute of Technology Agartala,"Computer Science and Engineering (4 Years, Bachelor of Technology) TRIPURA",59.0,16.0,75.0,73,17,90,15.0
National Institute of Technology Agartala,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",58.0,17.0,75.0,71,19,90,15.0
National Institute of Technology Agartala,"Electrical Engineering (4 Years, Bachelor of Technology) TRIPURA",48.0,14.0,62.0,46,14,60,-2.0
National Institute of Technology Agartala,"Electrical Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",50.0,13.0,63.0,47,13,60,-3.0
National Institute of Technology Agartala,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) TRIPURA",49.0,15.0,64.0,45,15,60,-4.0
National Institute of Technology Agartala,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",51.0,13.0,64.0,47,13,60,-4.0
National Institute of Technology Agartala,"Mechanical Engineering (4 Years, Bachelor of Technology) TRIPURA",48.0,14.0,62.0,46,14,60,-2.0
National Institute of Technology Agartala,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",50.0,13.0,63.0,47,13,60,-3.0
National Institute of Technology Agartala,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) TRIPURA",29.0,8.0,37.0,35,10,45,8.0
National Institute of Technology Agartala,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",30.0,8.0,38.0,36,9,45,7.0
National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology) TRIPURA",44.0,12.0,56.0,33,12,45,-11.0
National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",45.0,12.0,57.0,33,12,45,-12.0
National Institute of Technology Agartala,"Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than TRIPURA",13.0,0.0,13.0,13,0,13,0.0
National Institute of Technology Agartala,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree)) TRIPURA",12.0,0.0,12.0,12,0,12,0.0
National Institute of Technology Agartala,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than TRIPURA",13.0,0.0,13.0,13,0,13,0.0
National Institute of Technology Agartala,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree)) TRIPURA",12.0,0.0,12.0,20,0,20,8.0
