Institute Name,Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,2024-25 Total,2025-26 Seat Capacity,2025-26 Female Supernumerary,2025-26 Total,Difference
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",44.0,2.0,46.0,46,0,46,0.0
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",33.0,4.0,37.0,37,0,37,0.0
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",30.0,3.0,33.0,33,0,33,0.0
Indian Institute of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",40.0,0.0,40.0,40,0,40,0.0
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",50.0,3.0,53.0,50,3,53,0.0
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",75.0,7.0,82.0,75,7,82,0.0
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",75.0,10.0,85.0,75,10,85,0.0
Indian Institute of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",20.0,0.0,20.0,20,0,20,0.0
Indian Institute of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",40.0,0.0,40.0,40,0,40,0.0
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",75.0,12.0,87.0,75,12,87,0.0
Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",50.0,3.0,53.0,50,3,53,0.0
Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",65.0,5.0,70.0,65,5,70,0.0
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",88.0,5.0,93.0,88,5,93,0.0
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",66.0,4.0,70.0,66,4,70,0.0
Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",100.0,15.0,115.0,100,15,115,0.0
Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",104.0,15.0,119.0,104,15,119,0.0
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",118.0,22.0,140.0,118,22,140,0.0
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",96.0,17.0,113.0,96,17,113,0.0
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",127.0,23.0,150.0,127,23,150,0.0
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",41.0,3.0,44.0,41,3,44,0.0
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",55.0,11.0,66.0,55,11,66,0.0
Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",144.0,28.0,172.0,144,28,172,0.0
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",80.0,13.0,93.0,80,13,93,0.0
Indian Institute of Technology Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",95.0,18.0,113.0,95,18,113,0.0
Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",71.0,9.0,80.0,71,9,80,0.0
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",63.0,9.0,72.0,63,9,72,0.0
Indian Institute of Technology Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",30.0,0.0,30.0,50,0,50,20.0
Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",45.0,0.0,45.0,45,0,45,0.0
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",59.0,0.0,59.0,59,0,59,0.0
Indian Institute of Technology Kharagpur,"Physics (4 Years, Bachelor of Science)",49.0,0.0,49.0,49,0,49,0.0
Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",69.0,0.0,69.0,69,0,69,0.0
Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",52.0,0.0,52.0,52,0,52,0.0
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",45.0,0.0,45.0,45,0,45,0.0
Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",37.0,3.0,40.0,37,3,40,0.0
Indian Institute of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",37.0,8.0,45.0,37,8,45,0.0
Indian Institute of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",49.0,11.0,60.0,49,11,60,0.0
Indian Institute of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",22.0,3.0,25.0,27,3,30,5.0
Indian Institute of Technology Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",22.0,3.0,25.0,27,3,30,5.0
Indian Institute of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",21.0,4.0,25.0,26,4,30,5.0
Indian Institute of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",53.0,12.0,65.0,53,12,65,0.0
Indian Institute of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",53.0,12.0,65.0,53,12,65,0.0
Indian Institute of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",29.0,6.0,35.0,29,6,35,0.0
Indian Institute of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",33.0,7.0,40.0,33,7,40,0.0
Indian Institute of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",21.0,4.0,25.0,26,4,30,5.0
Indian Institute of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",53.0,12.0,65.0,53,12,65,0.0
Indian Institute of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",29.0,6.0,35.0,29,6,35,0.0
Indian Institute of Technology Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",29.0,6.0,35.0,34,6,40,5.0
Indian Institute of Technology Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",21.0,4.0,25.0,26,4,30,5.0
Indian Institute of Technology Jodhpur,"Chemical Engineering (4 Years, Bachelor of Technology)",40.0,10.0,50.0,40,10,50,0.0
Indian Institute of Technology Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",64.0,16.0,80.0,64,16,80,0.0
Indian Institute of Technology Jodhpur,"Electrical Engineering (4 Years, Bachelor of Technology)",72.0,18.0,90.0,40,10,50,-40.0
Indian Institute of Technology Jodhpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",72.0,18.0,90.0,72,18,90,0.0
Indian Institute of Technology Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",48.0,12.0,60.0,48,12,60,0.0
Indian Institute of Technology Jodhpur,"Bio Engineering (4 Years, Bachelor of Technology)",40.0,10.0,50.0,40,10,50,0.0
